EXPERIMENT;25%;MEDIAN;75%;MAX;MEAN;MEAN WITHOUT T.O.;UNSOLVED
mmkp/mmkpAMO_10-5-5-G-R-W_1;0,326993;0,465974;1,52781;14,7668;1,38938;1,38938;       0
mmkp/mmkpEO_10-5-5-G-R-W_1;0,283997;0,395981;1,42483;12,9041;1,30955;1,30955;       0
mmkp/mmkp_10-5-5-G-R-W_1;0,818942;4,9393;21,0149;221,755;19,5859;19,5859;       0
